Palabras Spam No_spam Total
askd 0 10 10
asked 2 14 16
askin 0 4 4
asking 0 8 8
asks 0 1 1
asleep 0 4 4
aspects 0 1 1
ass 0 10 10
asshole 0 1 1
assume 0 3 3
assumed 0 1 1
asthere 0 1 1
astne 0 1 1
astoundingly 0 1 1
asus 0 1 1
asusual 0 1 1
ate 0 3 3
athletic 0 1 1
athome 0 1 1
atlanta 0 3 3
atleast 0 1 1
atm 0 1 1
atrocious 0 1 1
attach 0 1 1
attached 0 1 1
attempt 13 0 13
atten 0 1 1
attend 0 3 3
attending 0 1 1
attitude 0 1 1
attraction 0 1 1
attractive 0 1 1
attributed 0 1 1
atural 0 1 1
auction 5 1 6
audrey 0 1 1
audrie 0 1 1
august 1 0 1
aunt 0 2 2
auntie 0 1 1
aunties 0 1 1
aunts 0 1 1
aunty 0 2 2
aust 0 1 1
auto 0 1 1
autocorrect 0 1 1
ava 0 1 1
availa 1 0 1
available 3 8 11
avalarr 0 1 1
avatar 0 3 3
avble 1 0 1
ave 1 3 4
avenge 0 1 1
avent 0 2 2
avo 0 1 1
avoid 0 2 2
avoiding 0 1 1
avoids 0 1 1
await 10 0 10
awaiting 3 0 3
awake 0 3 3
award 12 1 13
awarded 25 0 25
away 2 10 12
awesome 0 14 14
aww 0 2 2
axis 0 1 1
ayn 0 1 1
baaaaabe 0 1 1
babe 4 43 47
babes 2 0 2
babies 0 1 1
baby 1 19 20
babyjontet 0 1 1
babysit 0 1 1
babysitting 0 1 1
bac 0 1 1
back 15 77 92
backdoor 1 0 1
bad 0 19 19
badly 0 1 1
badrith 0 1 1
bag 0 4 4
bags 0 1 1
bahas 2 0 2
baig 0 1 1
bajarangabali 0 1 1
bak 0 5 5
bakra 0 1 1
bakrid 0 1 1
balance 7 4 11
balloon 0 1 1
bam 0 1 1
bambling 0 1 1
bang 0 2 2
bangb 1 0 1
bangbabes 1 0 1
bani 0 1 1
bank 1 6 7
banks 0 2 2
banned 1 0 1
banter 0 1 1
bao 0 1 1
bar 0 2 2
barbie 1 0 1
barcelona 0 1 1
barely 0 4 4
barolla 0 1 1
barred 0 1 1
bars 0 1 1
based 0 1 1
bash 0 1 1
basic 0 2 2
basically 0 2 2
basket 0 1 1
basq 0 1 1
bat 0 2 2
batch 0 2 2
bath 0 9 9
bathe 0 8 8
bathing 0 3 3
bathroom 0 1 1
batsman 0 1 1
batt 0 1 1
battery 0 5 5
battle 0 1 1
bay 0 3 3
bbc 1 0 1
bbd 0 1 1
bbq 0 1 1
bck 0 1 1
bcm 4 0 4
bcmsfwc 1 0 1
bcoz 0 10 10
bcs 0 1 1
bcum 0 1 1
bcums 0 4 4
bday 0 2 2
beach 0 1 1
bears 1 0 1
beauties 0 1 1
beautiful 0 14 14
bec 0 2 2
becaus 0 1 1
because 2 22 24
becausethey 1 0 1
become 1 4 5
becomes 0 1 1
becoz 0 3 3
becz 0 1 1
bed 0 20 20
bedbut 0 1 1
bedrm 0 1 1
bedroom 1 6 7
beehoon 0 1 1
been 25 55 80
beer 0 3 3
beerage 0 1 1
befor 0 1 1
before 4 34 38
beforehand 0 1 1
beg 1 1 2
beggar 0 1 1
begging 0 2 2
begin 1 2 3
begins 0 1 1
begun 0 1 1
behave 0 3 3
behind 0 1 1
bein 0 2 2
being 3 22 25
believe 0 11 11
belive 0 1 1
bell 0 1 1
bellearlier 0 1 1
belligerent 0 1 1
belly 0 4 4
belongs 0 1 1
belovd 0 3 3
beloved 0 1 1
ben 0 2 2
bend 0 1 1
beneath 0 1 1
beneficiary 0 2 2
benefits 0 1 1
best 4 28 32
bet 0 4 4
beta 0 1 1
beth 0 1 1
betta 0 1 1
better 1 28 29
bettersn 0 1 1
bettr 0 1 1
between 6 14 20
beware 1 2 3
beyond 0 1 1
bfore 0 1 1
bhaji 0 2 2
bhayandar 0 1 1
bian 0 1 1
biatch 0 1 1
bid 1 0 1
bids 0 1 1
big 1 19 20
bigger 0 3 3
biggest 2 1 3
bike 0 1 1
bill 1 5 6
billed 1 0 1
billion 0 2 2
bills 0 1 1
bilo 0 1 1
bin 1 3 4
biola 0 1 1
birds 1 2 3
birla 0 3 3
biro 0 1 1
birth 0 1 1
birthdate 0 1 1
birthday 1 19 20
bishan 0 2 2
bit 0 27 27
bitch 1 3 4
bite 0 2 2
bites 0 1 1
bits 0 1 1
biz 4 0 4
black 0 6 6
blackberry 0 2 2
blah 0 1 1
blake 0 2 2
blame 0 2 2
blanked 0 1 1
blanket 0 1 1
blankets 0 1 1
blastin 0 1 1
bleak 0 1 1
bleh 0 1 1
bless 0 2 2
blessed 0 2 2
blessing 0 2 2
blessings 0 1 1
blimey 0 1 1
blind 1 0 1
block 0 1 1
blocked 0 1 1
blog 0 1 1
blogging 0 1 1
blogspot 0 1 1
bloke 1 2 3
bloo 0 1 1
blood 0 7 7
bloody 0 2 2
bloomberg 1 0 1
blow 0 1 1
blown 0 1 1
blue 0 7 7
bluetooth 5 0 5
bluetoothhdset 1 0 1
bluff 0 2 2
bmw 0 2 2
board 0 1 1
boat 0 2 2
body 0 5 5
boggy 0 1 1
bognor 0 1 1
bold 0 4 4
bollox 0 1 1
boltblue 1 0 1
bonus 18 0 18
boo 0 5 5
book 3 10 13
booked 0 7 7
booking 0 1 1
bookmark 1 0 1
books 0 2 2
bookshelf 0 1 1
boooo 0 1 1
boost 0 2 2
booty 0 1 1
bootydelious 1 0 1
bored 2 10 12
borin 1 1 2
boring 0 3 3
borrow 0 2 2
boss 0 7 7
boston 0 2 2
both 0 10 10
bother 0 5 5
bothering 0 1 1
bottom 0 1 1
bought 1 2 3
bout 1 12 13
bowa 0 1 1
bowl 0 4 4
bowls 0 1 1
box 42 1 43
boy 0 12 12
boye 0 3 3
boyf 0 1 1
boyfriend 0 1 1
boys 2 0 2
boytoy 0 10 10
brain 0 1 1
braindance 0 1 1
brainless 0 1 1
brains 0 1 1
brainy 0 1 1
brand 3 2 5
brandy 0 2 2
bras 0 1 1
brats 0 1 1
braved 0 1 1
bray 2 0 2
brdget 0 1 1
bread 0 1 1
breadstick 0 1 1
break 2 10 12
breakfast 0 1 1
breakin 0 1 1
breaking 0 1 1
breath 1 1 2
breathe 1 2 3
breather 0 1 1
breeze 0 1 1
bremoved 1 0 1
bribe 0 1 1
bridal 1 0 1
bridge 0 1 1
bridgwater 0 1 1
brief 0 1 1
bright 0 2 2
brighten 0 1 1
brilliant 0 5 5
brilliantly 0 1 1
brin 0 1 1
bring 0 13 13
bringing 1 2 3
brings 0 3 3
bristol 0 2 2
british 1 0 1
britney 2 0 2
bro 0 2 2
broad 0 1 1
broke 0 2 2
broken 0 2 2
bros 0 2 2
brothas 0 1 1
brother 1 8 9
brothers 0 1 1
brought 2 1 3
brown 0 1 1
brownie 0 1 1
browse 1 0 1
browsin 0 1 1
bruce 0 1 1
brum 0 1 1
bruv 0 1 1
bslvyl 0 6 6
bsnl 0 1 1
bstfrnd 0 2 2
btw 0 4 4
bubbletext 1 0 1
bucks 0 4 4
bud 0 2 2
buddys 1 0 1
budget 0 3 3
buen 0 1 1
buff 0 3 3
buffet 1 1 2
buffy 1 0 1
bugis 1 5 6
build 0 1 1
building 0 2 2
bull 0 1 1
bundle 1 0 1
bunkers 0 1 1
buns 0 2 2
burger 1 1 2
burial 0 1 1
burn 0 1 1
burning 0 2 2
burns 1 0 1
burnt 0 1 1
bus 0 19 19
buses 0 2 2
busetop 0 1 1
business 0 1 1
busty 1 0 1
busy 0 15 15
but 2 271 273
butt 0 3 3
buttheres 0 1 1
butting 0 1 1
buttons 0 1 1
buy 2 37 39
buyer 0 1 1
buyers 0 1 1
buying 0 4 4
buzy 0 3 3
buzz 0 4 4
buzzzz 0 1 1
byatch 0 1 1
bye 0 4 4
cabin 0 5 5
cafe 0 4 4
cage 0 1 1
cake 0 6 6
cakes 0 1 1
cal 1 3 4
calculated 0 1 1
cali 0 2 2
calicut 0 1 1
call 200 141 341
callback 1 0 1
callcost 2 0 2
calld 0 2 2
called 0 22 22
caller 10 1 11
callers 0 4 4
callertune 0 4 4
callfreefone 2 0 2
callin 0 1 1
calling 2 10 12
callon 0 1 1
calls 13 7 20
calm 0 1 1
cam 1 2 3
camcorder 6 0 6
came 1 19 20
camera 19 0 19
campus 0 4 4
can 19 248 267
canada 0 2 2
canal 0 1 1
canary 1 0 1
cancel 1 1 2
cancelled 0 1 1
cancer 0 2 2
canlove 0 1 1
cann 0 1 1
cannot 0 3 3
cant 2 31 33
cantdo 0 1 1
cappuccino 0 2 2
car 0 28 28
card 3 7 10
cardiff 0 1 1
cardin 0 1 1
care 4 34 38
careabout 0 1 1
cared 0 1 1
career 1 1 2
careers 1 0 1
careful 1 2 3
carefully 0 4 4
cares 0 2 2
caring 0 2 2
carlie 1 0 1
carlos 0 13 13
caroline 0 1 1
carpark 0 1 1
carry 0 1 1
carryin 0 1 1
cars 0 1 1
cartons 0 1 1
cartoon 0 3 3
case 0 12 12
cash 45 7 52
cashed 0 1 1
cashto 2 0 2
casing 0 1 1
cast 1 0 1
castor 0 2 2
casualty 0 1 1
cat 0 2 2
catch 0 7 7
catching 0 3 3
categories 0 1 1
caught 0 3 3
cause 0 13 13
causes 0 1 1
cave 0 1 1
caveboy 0 1 1
cbe 0 3 3
ccna 0 1 1
cdgt 1 0 1
cds 4 0 4
cedar 0 1 1
celeb 3 0 3
celebrate 0 1 1
celebrated 0 1 1
celebrations 0 1 1
cell 0 3 3
census 0 1 1
center 1 2 3
centre 0 3 3
century 0 1 1
cer 0 1 1
cereals 0 1 1
certainly 0 2 2
certificate 0 1 1
cha 1 0 1
chachi 0 1 1
chad 0 1 1
chain 0 3 3
challenge 0 1 1
challenging 0 1 1
chance 21 5 26
chances 2 0 2
change 0 18 18
changed 1 4 5
changes 0 1 1
channel 2 0 2
chaps 1 0 1
character 0 5 5
charge 5 4 9
charged 7 0 7
charges 1 2 3
charity 1 0 1
charles 0 2 2
charlie 0 1 1
charming 0 1 1
chart 1 0 1
charts 1 0 1
chase 0 1 1
chasing 0 2 2
chat 27 5 32
chatter 1 0 1
chatting 1 1 2
cheap 3 3 6
cheaper 1 1 2
cheat 0 1 1
cheating 0 1 1
chechi 0 2 2
check 2 26 28
checkboxes 0 1 1
checked 0 5 5
checkin 0 1 1
checking 0 4 4
checkup 0 1 1
cheek 0 1 1
cheer 0 2 2
cheered 0 1 1
cheers 0 4 4
cheery 0 1 1
cheesy 0 1 1
chef 0 1 1
chennai 0 10 10
cheque 0 1 1
cherthala 0 1 1
chest 0 1 1
cheyyamo 0 1 1
chez 0 1 1
chgs 1 0 1
chicken 0 2 2
chickened 0 1 1
chikku 0 11 11
child 1 1 2
childish 0 5 5
children 1 4 5
childrens 0 1 1
chill 0 2 2
chillaxin 0 1 1
chillin 0 2 2
china 0 2 2
chinatown 0 1 1
chinchillas 0 1 1
chinese 0 5 5
chinky 0 1 1
chinnu 0 1 1
chiong 0 1 1
chip 0 1 1
chk 0 1 1
chocolate 0 1 1
choice 3 2 5
choices 0 1 1
choose 7 6 13
chords 0 1 1
chores 0 1 1
chosen 1 0 1
chp 0 1 1
chplaxigating 0 1 1
chpneys 1 0 1
chrgd 1 0 1
christ 0 1 1
christians 0 1 1
christmas 1 8 9
chuckin 0 1 1
church 0 3 3
cine 1 5 6
cinema 3 4 7
citizen 0 1 1
city 2 2 4
citylink 0 1 1
cktz 1 0 1
claim 69 0 69
claimcode 1 0 1
claims 1 0 1
claire 1 1 2
clarification 0 1 1
clark 0 2 2
clash 0 1 1
class 0 30 30
classes 0 1 1
classic 1 0 1
classmates 0 1 1
claypot 0 1 1
cld 0 1 1
clean 0 8 8
cleaning 0 3 3
clear 0 3 3
cleared 0 2 2
clearing 0 1 1
clever 0 2 2
click 3 1 4
cliff 0 1 1
cliffs 0 1 1
clip 1 0 1
clock 0 3 3
clocks 0 1 1
clos 0 2 2
close 2 11 13
closed 0 5 5
closer 0 3 3
closes 0 2 2
closingdate 1 0 1
cloth 0 1 1
cloud 0 1 1
club 10 0 10
clubsaisai 1 0 1
clue 0 1 1
cnl 1 0 1
cnupdates 1 0 1
coat 0 1 1
coaxing 0 1 1
coca 1 0 1
coccooning 0 1 1
cochin 0 2 2
cock 0 2 2
cocksuckers 0 1 1
code 15 1 16
coffee 0 6 6
coimbatore 0 1 1
coin 0 1 1
coins 0 3 3
cola 1 0 1
cold 0 5 5
collages 0 1 1
colleagues 0 4 4
collect 14 3 17
collected 2 1 3
collecting 0 2 2
collection 14 0 14
college 0 11 11
color 0 2 2
colour 7 3 10
colours 0 1 1
com 36 11 47
comb 0 1 1
combination 0 1 1
combine 0 2 2
come 2 135 137
comedy 0 1 1
comes 2 12 14
comfort 0 1 1
comin 0 7 7
coming 0 28 28
comingdown 0 1 1
comment 0 1 1
commercial 0 1 1
commit 0 1 1
community 2 1 3
como 0 1 1
comp 7 1 8
companies 1 0 1
companion 0 1 1
company 2 9 11
compare 2 0 2
compass 0 1 1
competition 3 2 5
complain 0 1 1
complaining 0 1 1
complaint 0 2 2
complementary 1 0 1
complete 0 3 3
completed 0 2 2
completely 1 5 6
completing 0 1 1
complexities 0 1 1
complimentary 8 0 8
comprehensive 0 1 1
compromised 0 1 1
compulsory 0 1 1
computational 0 1 1
computer 1 4 5
computerless 0 1 1
computers 0 1 1
comuk 3 0 3
conacted 1 0 1
concentrate 0 2 2
concentrating 0 1 1
concentration 0 1 1
concern 0 1 1
concerned 0 1 1
conclusion 0 1 1
condition 1 0 1
conditions 3 1 4
conducts 0 1 1
conected 0 1 1
conference 0 1 1
confidence 0 4 4
configure 0 1 1
confirm 1 8 9
conform 0 1 1
confused 0 2 2
confuses 0 1 1
congrats 6 4 10
congratulations 10 1 11
connect 2 2 4
connected 1 0 1
connection 0 2 2
connections 0 1 1
cons 0 1 1
consensus 0 1 1
consider 0 2 2
considering 0 2 2
consistently 0 1 1
console 1 0 1
constant 0 2 2
constantly 0 1 1
contact 33 8 41
contacted 4 0 4
contacts 0 2 2
content 10 1 11
contents 0 1 1
continue 0 1 1
contract 1 2 3
control 0 1 1
convenience 0 1 1
converted 0 1 1
converter 0 1 1
convey 0 6 6
convince 0 1 1
convincing 0 2 2
cook 0 4 4
cooked 0 1 1
cookies 0 1 1
cooking 0 4 4
cool 1 21 22
cooped 0 1 1
copied 0 1 1
copies 0 1 1
coping 0 1 1
copy 0 6 6
corect 0 1 1
cornwall 1 0 1
corporation 0 1 1
corrct 0 1 1
correct 4 6 10
correction 0 2 2
corrupt 0 1 1
corvettes 0 1 1
cos 0 42 42
cosign 0 1 1
cost 17 9 26
costa 3 0 3
costing 2 0 2
costs 1 2 3
costumes 0 1 1
cougar 0 1 1
cough 0 1 1
could 4 32 36
couldn 0 4 4
count 0 1 1
countin 0 2 2
countinlots 0 1 1
country 4 2 6
coupla 0 1 1
couple 0 8 8
courageous 0 1 1
course 0 6 6
courtroom 0 1 1
cousin 0 1 1
cover 0 6 6
coveragd 0 1 1
covers 0 2 2
coz 0 15 15
cozy 0 1 1
crab 0 1 1
crack 0 2 2
crammed 0 1 1
cramps 0 1 1
crap 0 2 2
crash 0 1 1
crashed 0 1 1
crashing 0 1 1
crave 0 5 5
craving 0 1 1
craziest 0 1 1
crazy 2 6 8
crazyin 1 0 1
crckt 0 1 1
cream 0 1 1
created 1 2 3
creativity 0 1 1
credit 6 4 10
credited 1 2 3
credits 7 0 7
creep 0 1 1
creepy 0 2 2
cres 0 1 1
cricketer 0 2 2
crickiting 0 1 1
cried 0 1 1
crisis 0 1 1
cro 1 0 1
crore 0 1 1
cross 1 1 2
croydon 6 0 6
crucial 0 1 1
crucify 0 1 1
cruise 2 0 2
cruisin 0 1 1
crushes 0 1 1
cry 0 2 2
crying 0 1 1
csbcm 2 0 2
csc 1 0 1
csh 2 0 2
cstore 0 1 1
ctagg 0 1 1
ctargg 0 1 1
cthen 0 1 1
ctla 0 1 1
cts 0 1 1
cttargg 0 1 1
ctter 0 1 1
cttergg 0 1 1
ctxt 1 0 1
cuck 0 1 1
cud 0 4 4
cuddle 0 1 1
cuddled 0 1 1
cuddling 0 1 1
cudnt 0 1 1
cultures 0 1 1
cum 5 5 10
cumin 1 0 1
cup 5 2 7
cuppa 0 1 1
curfew 0 1 1
curious 0 2 2
current 0 2 2
currently 8 2 10
curry 0 2 2
curtsey 0 1 1
cust 3 0 3
custcare 8 0 8
custom 0 1 1
customer 28 6 34
cut 0 8 8
cute 1 5 6
cutefrnd 0 2 2
cutest 0 1 1
cutie 0 1 1
cutter 0 1 1
cutting 0 1 1
cuz 0 6 6
cya 0 1 1
cysts 0 1 1
daaaaa 0 1 1
dabbles 0 1 1
dabooks 0 1 1
dad 0 12 12
daddy 0 6 6
dads 0 1 1
dai 0 2 2
daily 3 1 4
dammit 0 1 1
damn 0 5 5
dan 0 1 1
dancce 0 1 1
dance 0 2 2
dancin 0 1 1
dancing 0 2 2
dane 0 1 1
dang 0 1 1
danger 0 1 1
dao 0 1 1
dare 0 2 2
dark 1 0 1
darker 0 1 1
darlin 0 11 11
darling 2 1 3
darlings 0 1 1
darren 0 7 7
dartboard 1 0 1
das 0 1 1
dasara 0 1 1
dat 0 25 25
data 0 1 1
date 6 7 13
datebox 2 0 2
dates 2 1 3
dating 11 0 11
dats 0 1 1
datz 0 2 2
dave 1 1 2
dawns 0 1 1
day 14 132 146
days 10 20 30
daytime 1 0 1
daywith 0 1 1
dbuk 1 0 1
dead 0 5 5
deal 0 6 6
dealer 0 1 1
deals 1 0 1
dear 10 63 73
dearer 0 3 3
dearly 0 2 2
death 0 2 2
dec 0 1 1
december 3 0 3
decide 0 8 8
decided 0 10 10
deciding 0 2 2
decimal 0 17 17
decision 0 2 2
decisions 0 2 2
deck 1 0 1
decking 0 1 1
dedicate 0 2 2
dedicated 0 2 2
deduct 0 1 1
deep 0 6 6
deepak 0 1 1
deeraj 0 1 1
def 0 3 3
deficient 0 1 1
definite 0 1 1
definitely 0 4 4
defo 0 1 1
degree 0 1 1
dehydration 0 1 1
del 3 1 4
delay 0 1 1
delete 0 2 2
deleted 0 3 3
delhi 0 2 2
deliver 0 2 2
delivered 2 0 2
deliveredtomorrow 2 0 2
delivery 12 0 12
deltomorrow 1 0 1
dem 0 3 3
demand 0 1 1
den 0 20 20
dena 1 0 1
dent 0 1 1
dentist 0 1 1
department 0 1 1
dependable 0 1 1
dependents 0 1 1
depends 0 5 5
deposit 0 1 1
deposited 0 1 1
depressed 0 2 2
der 0 1 1
derek 0 3 3
derp 0 1 1
describe 0 1 1
description 0 1 1
deserve 0 1 1
designation 0 1 1
desires 0 1 1
desparate 0 1 1
desparately 0 1 1
desperate 0 1 1
dessert 0 1 1
destination 0 1 1
destiny 0 1 1
detail 0 1 1
detailed 0 1 1
details 3 10 13
determine 0 1 1
determined 0 1 1
detroit 1 0 1
deus 0 1 1
develop 0 2 2
developed 0 1 1
developer 0 1 1
devils 1 0 1
dey 0 4 4
dha 0 1 1
dhanush 0 1 1
dhina 0 2 2
dhoni 0 1 1
dialogue 0 1 1
diamonds 0 1 1
dice 0 1 1
dick 1 2 3
dict 0 1 1
dictionary 0 4 4
did 2 68 70
diddy 0 1 1
didn 0 28 28
didnt 0 18 18
didntgive 0 1 1
die 0 9 9
died 0 4 4
diesel 0 1 1
diet 0 2 2
dieting 0 1 1
diff 0 1 1
differ 0 1 1
different 0 5 5
difficult 0 7 7
difficulties 0 1 1
dificult 0 3 3
digi 0 1 1
digital 5 0 5
digits 1 0 1
dignity 0 3 3
dileep 0 1 1
dime 0 1 1
dimension 0 1 1
din 0 5 5
dine 0 1 1
dined 0 1 1
dinero 0 1 1
ding 0 1 1
dinner 0 20 20
dint 0 2 2
dippeditinadew 0 1 1
direct 7 1 8
directly 0 3 3
director 0 1 1
directors 0 1 1
dirt 0 1 1
dirty 1 2 3
dis 1 14 15
disappeared 0 1 1
disasters 0 1 1
disastrous 0 1 1
disc 0 1 1
disclose 0 2 2
disconnected 0 1 1
discount 9 0 9
discreet 2 0 2
discuss 0 2 2
discussed 0 1 1
disk 0 1 1
dislikes 0 3 3
dismay 0 1 1
dismissial 0 1 1
display 0 2 2
distance 0 1 1
distract 0 2 2
disturb 0 7 7
disturbance 0 1 1
disturbing 0 1 1
ditto 0 1 1
divert 0 1 1
division 0 1 1
divorce 1 1 2
diwali 0 2 2
dizzee 1 0 1
dled 0 1 1
dlf 0 1 1
dload 2 0 2
dnot 0 1 1
dnt 0 12 12
dob 1 0 1
dobby 0 2 2
docd 0 1 1
dock 0 1 1
docs 0 2 2
doctor 0 4 4
doctors 0 1 1
documents 0 1 1
dodda 0 1 1
does 3 20 23
doesdiscount 0 1 1
doesn 0 15 15
doesnt 0 6 6
dog 0 3 3
dogbreath 0 1 1
dogg 0 1 1
dogging 7 0 7
doggy 0 3 3
doin 0 6 6
doinat 0 1 1
doing 0 50 50
doit 1 0 1
doke 0 1 1
doll 0 1 1
dollar 0 1 1
dollars 0 4 4
don 4 99 103
done 2 34 36
donno 0 1 1
dont 10 80 90
dontignore 0 1 1
dontmatter 0 1 1
dontplease 0 1 1
donyt 0 1 1
door 1 5 6
doors 0 2 2
dorm 0 2 2
dorothy 1 0 1
dose 0 1 1
dosomething 0 1 1
dot 2 1 3
double 7 5 12
doublemins 1 0 1
doubles 1 0 1
doubletxt 1 0 1
doubt 0 1 1
doug 0 1 1
dough 0 1 1
down 1 34 35
download 2 7 9
downloaded 1 0 1
downloads 2 0 2
downon 0 1 1
downs 0 1 1
downstem 0 1 1
dozens 1 0 1
dps 1 0 1
dracula 2 0 2
drama 0 1 1
dramastorm 0 1 1
dramatic 0 1 1
draw 26 4 30
draws 1 0 1
dream 2 5 7
dreams 0 6 6
dress 0 1 1
dressed 0 2 2
dresser 0 2 2
drink 0 10 10
drinkin 0 2 2
drinking 0 1 1
drinks 2 2 4
drivby 0 1 1
drive 0 8 8
driver 0 2 2
drivin 0 2 2
driving 1 13 14
drizzling 0 1 1
drms 0 1 1
drop 2 8 10
dropped 0 3 3
